figure_id,row_key,column_key,distinct_settlement_records,evidence_ids
F_S22_3_B,state_elite,incumbent_or_transition_actor,2,CR-2013 / BARG-2014-15-01; CR-2018 / BARG-2018-01
F_S22_3_B,state_elite,incumbent_or_counterparty,1,CR-1972 / BARG-1972-01
F_S22_3_B,state_elite,military_directorate_head,1,CR-1975 / BARG-1975-02
F_S22_3_B,state_elite,military_directorate,1,CR-1975 / BARG-1975-02
F_S22_3_B,state_elite,opposition_movement_signatory,1,CR-1991 / BARG-1991-01
F_S22_3_B,state_elite,election_management_actor,1,CR-2009-10 / BARG-2009-04
F_S22_3_B,state_elite,political_movement_bloc,1,CR-2009-10 / BARG-2009-10
F_S22_3_B,state_elite,consensus_prime_minister,1,CR-2018 / BARG-2018-01
F_S22_3_B,opposition_elite,claimant_or_signatory,8,CR-1991 / BARG-1991-01; CR-2009-10 / BARG-2009-02; CR-2009-10 / BARG-2009-03; CR-2009-10 / BARG-2009-04; CR-2009-10 / BARG-2009-07; CR-2009-10 / BARG-2009-09; CR-2009-10 / BARG-2009-10; CR-2013 / BARG-2014-15-01
F_S22_3_B,opposition_elite,claimant_or_transition_actor,7,CR-2009-10 / BARG-2009-02; CR-2009-10 / BARG-2009-03; CR-2009-10 / BARG-2009-04; CR-2009-10 / BARG-2009-07; CR-2009-10 / BARG-2009-09; CR-2009-10 / BARG-2009-10; CR-2013 / BARG-2014-15-01
F_S22_3_B,opposition_elite,coercive_or_transfer_actor,1,CR-2009-10 / BARG-2009-07
F_S22_3_B,opposition_elite,mediator_or_guarantor,5,CR-2009-10 / BARG-2009-02; CR-2009-10 / BARG-2009-03; CR-2009-10 / BARG-2009-04; CR-2009-10 / BARG-2009-07; CR-2009-10 / BARG-2009-09
F_S22_3_B,opposition_elite,mediator_observer_or_norm_enforcer,6,CR-1991 / BARG-1991-01; CR-2009-10 / BARG-2009-02; CR-2009-10 / BARG-2009-03; CR-2009-10 / BARG-2009-04; CR-2009-10 / BARG-2009-07; CR-2009-10 / BARG-2009-09
F_S22_3_B,opposition_elite,opposition_actor,1,CR-1991 / BARG-1991-01
F_S22_3_B,opposition_elite,participant_or_code_subject,1,CR-1991 / BARG-1991-01
F_S22_3_B,opposition_elite,mediator_or_observer,5,CR-2009-10 / BARG-2009-02; CR-2009-10 / BARG-2009-03; CR-2009-10 / BARG-2009-04; CR-2009-10 / BARG-2009-07; CR-2009-10 / BARG-2009-09
F_S22_3_B,opposition_elite,moral_or_religious_mediator,2,CR-1991 / BARG-1991-01; CR-2013 / BARG-2014-15-01
F_S22_3_B,opposition_elite,incumbent_or_transition_actor,1,CR-2013 / BARG-2014-15-01
F_S22_3_B,opposition_elite,opposition_movement_signatory,1,CR-1991 / BARG-1991-01
F_S22_3_B,opposition_elite,election_management_actor,1,CR-2009-10 / BARG-2009-04
F_S22_3_B,opposition_elite,political_movement_bloc,1,CR-2009-10 / BARG-2009-10
F_S22_3_B,military,claimant_or_signatory,4,CR-1975 / BARG-1975-01; CR-1975 / BARG-1975-02; CR-2009 / BARG-2009-01; CR-2009-10 / BARG-2009-07
F_S22_3_B,military,claimant_or_transition_actor,2,CR-2009 / BARG-2009-01; CR-2009-10 / BARG-2009-07
